Varunummer,Vivino_url,Vivino_betyg,Vivino_antal_recensioner,matched_date
252601,https://www.vivino.com/sv/domaine-bousquet-gualtallary-organic-brut-rose/w/2564872,3.8,881,
669401,https://www.vivino.com/sv/irony-pinot-noir/w/1155121,3.8,3505,
7513101,https://www.vivino.com/sv/bouchard-aine-et-fils-chablis/w/83015,3.8,5552,
201601,https://www.vivino.com/sv/bonpas-reserve-de-bonpas-rouge/w/1189827,3.6,15045,
2014901,https://www.vivino.com/sv/poggiotondo-wines-poggiotondo-vermentino-delle-conchiglie-organic/w/9484260,3.8,1061,
9509801,https://www.vivino.com/sv/famille-fabre-languedoc-roussillon-la-festa-alvarinho/w/13553138,3.8,78,
463801,https://www.vivino.com/sv/the-stellenbosch-reserve-vanderstel/w/4087344,3.8,8240,
7327301,https://www.vivino.com/w/5371050,3.8,3255,
7736601,https://www.vivino.com/sv/la-chouette-de-champillon-blanc-de-noirs-champagne/w/7116397,3.8,110,
216401,https://www.vivino.com/sv/wolf-grauburgunder/w/2678854,3.8,2397,
7861401,https://www.vivino.com/sv/jean-claude-boisset-pinot-noir-bourgogne-les-ursulines/w/1190301,3.7,13893,
9311401,https://www.vivino.com/w/5932760,3.8,313,
2017901,https://www.vivino.com/sv/montespina-verdejo/w/2482875,3.8,3162,
60161001,https://www.vivino.com/w/2142920,3.8,194,
7516901,https://www.vivino.com/sv/le-colline-barbera-d-alba/w/13256226,3.8,1211,
2225706,https://www.vivino.com/w/1214992,3.8,145,
560001,https://www.vivino.com/w/20058,3.8,90,
768802,https://www.vivino.com/w/1108718,3.8,48,
633901,https://www.vivino.com/sv/gardo-morris-sauvignon-blanc/w/2593426,3.8,2445,
7100201,https://www.vivino.com/sv/casa-capriolo-governo-toscana/w/2210944,3.8,4728,
9040401,https://www.vivino.com/sv/weingut-jurtschitsch-belle-naturelle-gruner-veltliner-ernte/w/4606145,3.7,3155,
220401,https://www.vivino.com/sv/chateau-bouscasse-madiran/w/3821778,3.8,22156,
7657001,https://www.vivino.com/sv/franz-leth-gruner-veltliner-familien-reserve/w/4764059,3.7,1803,
296102,https://www.vivino.com/sv/franz-leth-gruner-veltliner-terrassen/w/5291000,3.9,7634,
225901,https://www.vivino.com/sv/roger-champault-les-pierris-sancerre-blanc/w/1109407,3.8,5337,
770601,https://www.vivino.com/sv/martini-asti/w/4022142,3.8,27681,
