Varunummer,Vivino_pris_per_750ml,Vivino_prispunkter,Vivino_prisargang
9007601,183.89,2,2025
9260402,765.72,3,2012
9230401,411.4,2,2023
9110901,293.0,1,2024
9234901,236.96,2,2023
9488001,197.06,1,0
9463101,209.45,1,2023
9330501,578.0,1,2017
9017901,354.0,1,2022
9330601,527.37,2,2020
9131301,216.44,2,2021
9345901,207.0,3,2022
9242901,319.0,1,2025
9018101,189.18,1,0
9446301,385.11,7,2022
9226401,302.91,3,2024
7396801,99.0,1,2017
241001,119.0,1,2024
7391806,219.0,1,2024
9435401,875.0,2,2020
9132801,320.93,1,2020
9018501,689.95,2,2022
9495701,209.78,1,2024
9266201,670.01,1,0
9538101,2212.39,2,2020
9221901,6604.0,1,2021
9124102,1650.0,5,2023
9554901,3280.93,2,2009
9600101,279.0,1,2023
9527501,6309.0,1,2019
9410401,3486.74,2,2011
9407001,2792.08,3,2011
9582301,292.77,3,2023
9224001,1325.0,1,2021
9366601,1130.51,2,2018
9243501,450.0,1,2021
9268301,4917.04,2,2013
9425801,479.0,1,2023
9039601,369.0,1,2020
9288901,1049.0,2,2022
9330701,1646.87,3,2021
9260201,736.0,1,2023
9278001,979.95,2,2022
9408101,645.63,2,2018
9347501,809.48,2,2023
9018201,375.0,3,2024
9468501,843.0,1,2020
9249301,4943.43,3,2013
9427101,4680.0,1,2018
9352201,1701.41,2,2016
9403601,1569.5,2,2020
9302201,4282.0,1,2021
9063601,4594.81,2,2019
9019001,1855.12,2,2022
9006801,454.0,1,2018
9460801,2468.9,2,0
9127301,290.48,1,2024
9324501,1401.28,3,2018
9123101,3739.0,1,2022
9124601,3739.0,1,2022
9368901,9449.0,1,2018
9452601,15419.67,2,2021
9340401,10082.97,4,2016
9124001,4594.81,2,2019
9505201,2468.9,2,0
9241601,4282.0,1,2021
9575901,4532.41,3,2017
9052701,4578.73,4,2017
9023401,3300.3,2,2013
9209801,2146.0,1,2020
9062301,25226.54,2,2019
9040601,10372.04,4,2021
9496501,8282.0,1,2023
9365201,20960.09,4,2018
9123901,3593.56,2,2020
9446801,8282.0,1,2023
9291301,17078.0,1,2018
9405101,6518.15,2,2021
9409301,8449.0,1,2021
9475601,60304.63,3,2008
9301401,9613.0,2,2002
9456406,6647.0,2,2022
9584401,4282.0,1,2021
9470501,17753.31,2,2019
9120008,609.95,2,2012
9266601,40624.0,1,2013
9355101,4894.78,2,1998
9213901,6149.0,1,2021
9430001,1313.84,2,2018
9494601,6208.0,1,2020
9256401,2477.34,5,2018
9344101,8392.94,2,2016
9414202,23068.0,1,0
9123406,3739.0,1,2022
9054206,4917.04,2,2008
9472906,4894.78,2,1998
9258001,8023.38,2,2013
283601,189.0,1,0
9374801,1261.19,3,2014
9321901,7444.19,1,2014
9030501,7444.19,1,2014
9403501,45535.35,2,2004
9446901,4667.0,3,2017
9439101,15055.0,1,2004
9577201,2792.08,3,2011
9473501,24792.0,1,2018
9251106,4943.43,3,2013
9393201,4279.05,1,2020
7238601,13741.62,2,2017
7968701,214.0,1,2023
8791401,3119.5,4,2016
230601,309.95,3,2019
8262301,393.0,9,2025
200401,168.0,1,2021
9407306,8135.1,4,2012
549101,513.0,1,2012
9461501,4399.0,1,2022
1212601,99.0,1,2019
7313701,111.75,1,2024
9771401,499.48,2,2019
5364801,8499.56,2,1998
235801,256.0,1,2023
7249201,99.0,1,2014
9009401,292.45,2,2016
5827001,262.0,1,2022
7052106,169.0,1,0
1237906,289.0,1,2020
7183206,213.0,1,2024
9051001,1050.6,2,2024
9232001,506.0,1,2017
9571601,3785.49,3,2021
9322001,5614.5,2,2022
9316401,506.73,1,2014
7615301,108.75,1,0
9235501,2758.86,7,2016
239101,79.0,1,0
9598401,2076.0,1,2023
9027301,499.0,3,2021
1237901,289.0,1,2020
9417401,1912.87,2,1989
9363701,614.0,1,2014
9009301,336.99,2,2025
9340601,2777.0,1,2019
7573201,822.03,1,2014
7281301,210.84,2,2024
9344001,1069.0,1,2024
9393901,10313.49,2,2018
9348201,826.26,2,2020
9248101,8499.8,4,2013
9271501,1300.61,5,2020
9001301,3505.57,4,2020
9375301,708.3,1,2014
9391801,2630.28,2,1998
9392201,787.12,1,2013
9393601,3195.0,1,2016
7491301,262.0,1,2024
9045501,315.3,1,2020
9376701,1551.48,2,2020
9379801,1363.0,3,2020
9057201,1114.21,2,2017
7252201,899.0,1,2016
9495801,1569.5,2,2020
9035208,2025.79,2,2022
9498301,269.0,1,2023
9601301,289.0,1,2024
9002801,450.0,1,2021
9415201,244.61,4,2022
3214501,636.0,1,2020
9016601,165.53,1,2025
9567201,575.0,1,2022
9227401,671.0,1,2025
3222901,253.11,2,2023
9346801,212.9,2,2022
7738401,213.95,1,2020
9213201,2477.34,5,2018
9284401,2014.34,4,2015
9237401,301.79,1,2025
9330201,1529.0,1,2023
9340501,670.01,5,2020
9341101,757.28,8,2020
7013901,528.0,1,2017
