Varunummer,Namn,Producent,Ursprung,Druvor,Status,Funnen_Vivino_url,Vivino_winery,Vivino_wine_name,Vivino_betyg,Vivino_antal_recensioner,Producer_check,Product_check,Country_ok,Grape_ok,Systembolaget_url
1252001,Dão Casal Mor,Caves Primavera,Portugal,"Jaen, Touriga naçional, Alfrocheiro preto",Matchad,https://www.vivino.com/sv/primavera-casal-mor-dao-reserva/w/1204089,Caves Primavera,Casal Mor Dão Reserva,3.3,3283,True,True,True,True,https://www.systembolaget.se/produkt/vin/-1252001/
2008001,OVE Reserva,My Pleasure in Sweden AB,Portugal,"Alicante bouschet, Syrah, Tinta roriz",Ej matchad,,,,,,,,,,https://www.systembolaget.se/produkt/vin/-2008001/
755201,Emily Blanc de Blancs,Josep Masachs,Spanien,"Macabeo, Parellada, Xarel-lo",Ej matchad,,,,,,,,,,https://www.systembolaget.se/produkt/vin/-755201/
2018501,Costa Carmenere Barrel Reserve,Talagante International Brands,Chile,Carmenère,Ej matchad,,,,,,,,,,https://www.systembolaget.se/produkt/vin/-2018501/
7494901,Signed By Riesling Organic,Anora Group PLC,Tyskland,Riesling,Ej matchad,,,,,,,,,,https://www.systembolaget.se/produkt/vin/-7494901/
219434,WG Wine Gourmet Sparkling Grüner Veltliner,HEBA Food & Beverages AB,Österrike,Grüner veltliner,Ej matchad,,,,,,,,,,https://www.systembolaget.se/produkt/vin/-219434/
5024701,Dominio Alto Crianza,Fields Wine Company AB,Spanien,"Garnacha, Mazuelo, Tempranillo",Matchad,https://www.vivino.com/sv/dominio-alto-crianza/w/1699963,Dominio Alto,Crianza,3.6,1421,True,True,True,True,https://www.systembolaget.se/produkt/vin/-5024701/
266401,Q Malbec,Quarisa Wines,Australien,Malbec,Matchad,https://www.vivino.com/sv/quarisa-q-malbec/w/6883715,Quarisa,Q Malbec,3.8,3249,True,True,True,True,https://www.systembolaget.se/produkt/vin/-266401/
278601,Campo Viejo Crianza,Vinarchy,Spanien,"Tempranillo, Garnacha, Mazuelo",Matchad,https://www.vivino.com/sv/campo-viejo-crianza/w/76784,Campo Viejo,Crianza,3.5,22982,True,True,True,True,https://www.systembolaget.se/produkt/vin/-278601/
582401,50° Riesling Trocken,G H von Mumm,Tyskland,Riesling,Matchad,https://www.vivino.com/sv/fifty-deg-degree-riesling-trocken/w/1178766,50° Degree,Riesling Trocken,3.7,7018,False,True,True,True,https://www.systembolaget.se/produkt/vin/-582401/
768401,Pata Negra Brut,Jaume Serra,Spanien,"Macabeo, Parellada, Xarel-lo",Matchad,https://www.vivino.com/sv/pata-negra-cava-brut-nature-reserva-vintage/w/2574100,Pata Negra,Cava Brut Nature Reserva Vintage,3.2,310,True,True,True,False,https://www.systembolaget.se/produkt/vin/-768401/
