Varunummer,Namn,Producent,Pris,Volym,Forpackning,Kategori3,Ursprung,Druvor,Vivino_betyg,Vivino_antal_recensioner,Matchningssäkerhet,Matchningskälla,Vivino_url
759801,Moët & Chandon Rosé Impérial,Moët & Chandon,629.0,750 ml,Glasflaska,Rosé,Frankrike,,4.1,32676,0.84,vivino-sök,https://www.vivino.com/w/1122092
742501,Charles de Fère Blanc de Blancs Brut,Charles de Fère,95.0,750 ml,Glasflaska,Torrt vitt,Frankrike,"Chardonnay, Colombard, Ugni blanc",3.6,2778,,websearch,https://www.vivino.com/sv/charles-de-fere-brut-reserve-blanc-de-blancs-methode-traditionnelle/w/1152133
465301,Lynx Barrel fermented Chardonnay,House of Big Wines,119.0,750 ml,Glasflaska,Fylligt & Smakrikt,USA,Chardonnay,3.5,4625,,websearch,https://www.vivino.com/sv/lynx-california-chardonnay-barrel-fermented/w/6236567
352801,Three Finger Jack Cabernet Sauvignon,3 Finger Jack Cellars,159.0,750 ml,Lättare glasflaska,Fruktigt & Smakrikt,USA,"Cabernet sauvignon, Malbec, Merlot, Petite sirah",4.1,28422,,websearch,https://www.vivino.com/sv/delicato-family-vineyards-three-finger-jack-cabernet-sauvignon/w/6818813
7475601,Amicale,Cantine di Ora,99.0,750 ml,Glasflaska,Kryddigt & Mustigt,Italien,"Corvina, Molinara, Rondinella",4.1,46,1.0,vivino-sök,https://www.vivino.com/w/1500493
207701,Copertino Riserva,Cantina Sociale Copertino,105.0,750 ml,Glasflaska,Kryddigt & Mustigt,Italien,Negroamaro,3.5,11697,,websearch,https://www.vivino.com/sv/cupertinum-copertino-riserva/w/1137422
742504,Charles de Fère Blanc de Blancs Brut,Charles de Fère,47.0,200 ml,Glasflaska,Torrt vitt,Frankrike,"Chardonnay, Colombard, Ugni blanc",3.6,2778,,websearch,https://www.vivino.com/sv/charles-de-fere-brut-reserve-blanc-de-blancs-methode-traditionnelle/w/1152133
751802,Moët & Chandon Brut Impérial,Moët & Chandon,309.0,375 ml,Glasflaska,Torrt vitt,Frankrike,,4.1,32676,0.86,vivino-sök,https://www.vivino.com/w/1122092
751801,Moët & Chandon Brut Impérial,Moët & Chandon,559.0,750 ml,Glasflaska,Torrt vitt,Frankrike,,4.1,32676,0.86,vivino-sök,https://www.vivino.com/w/1122092
5234001,Mucho Mas,Felix Solis,99.0,750 ml,,,Spanien,"Grenache, Syrah, Tempranillo",4.1,6976,0.8,vivino-sök,https://www.vivino.com/w/12200870
276801,Baron de Ley Gran Reserva,Baron de Ley,225.0,750 ml,Glasflaska,Kryddigt & Mustigt,Spanien,"Graciano, Tempranillo",4.1,2863,0.8,vivino-sök,https://www.vivino.com/w/21585
7244201,ChateauBriand Grand Réserve,Carovin AB,149.0,750 ml,Glasflaska,Stramt & Nyanserat,Frankrike,,,,,,
