Varunummer,Namn,Producent,Pris,Volym,Forpackning,Kategori3,Ursprung,Druvor,AssortmentText,IsNewInAssortment,ProductLaunchDate,Argang,IsCompletelyOutOfStock,IsTemporaryOutOfStock,IsDiscontinued,IsSupplierTemporaryNotAvailable
7361301,Domaine des Diables Rosé,Domaine des Diables,169.0,750 ml,Glasflaska,,Frankrike,"Grenache, Syrah",Ordervaror,False,2024-04-15,,False,True,False,True
7311001,Chateau d'Esclans Whispering Angel,Chateau D'Esclans,219.0,750 ml,Glasflaska,,Frankrike,,Ordervaror,False,2024-03-26,2024,False,True,False,True
7366806,Chateau d'Esclans  Whispering Angel,Chateau D'Esclans,489.0,1500 ml,Glasflaska,,Frankrike,,Ordervaror,False,2024-03-27,2025,False,False,False,False
7388001,Laurent Miquel Solas Rosé,Laurent Miquel/Cazal Viel,159.0,750 ml,Glasflaska,,Frankrike,,Ordervaror,False,2024-04-03,2025,False,False,False,False
7174101,Oliver Zeter Free Run Rosé,Oliver Zeter,199.0,750 ml,Lättare glasflaska,,Tyskland,,Ordervaror,False,2024-04-09,2022,False,False,False,False
7505801,Corcovo Tempranillo Rosado,Bodegas J.A. Megía e Hijos S.L,140.0,750 ml,Glasflaska,,Spanien,Tempranillo,Ordervaror,False,2024-09-23,2023,False,False,False,False
7494501,Chiaretto di Bardolino Classico,Cantine Lenotti,170.0,750 ml,Glasflaska,,Italien,,Ordervaror,False,2024-09-24,2023,False,False,False,False
7256401,Rabl Zweigelt Rosé,Weingut Rabl,149.0,750 ml,Glasflaska,,Österrike,,Ordervaror,False,2010-05-01,2023,False,False,False,False
7178301,Vena Aetna Rosato,Azienda Agricola Costa,334.0,750 ml,Glasflaska,,Italien,Nerello mascalese,Ordervaror,False,2024-10-23,2019,False,False,False,False
7936501,Chapitre Rosé Côtes du Rhône,Vignerons Propriétés Associes,129.0,750 ml,Lättare glasflaska,,Frankrike,"Grenache, Syrah, Cinsault",Ordervaror,False,2025-04-30,2025,False,False,False,False
7981501,Vignoble Hermouet Château Roc Meynard Bordeaux Clairet,Vignoble Hermouet,170.0,750 ml,Glasflaska,,Frankrike,"Merlot, Malbec",Ordervaror,False,2025-05-12,2025,False,False,False,False
7011301,Domaine Saint Georges d'Ibry Excellence Rosé,Domaine Saint-Georges d'Ibry,159.0,750 ml,Glasflaska,,Frankrike,,Ordervaror,False,2025-08-20,2024,False,False,False,False
